timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.65546E+12,7183,Login,200,OK,Workers 1-101,text,TRUE,,3196,836,150,150,http://localhost/login,7182,0,0,,,,,,
1.65546E+12,7203,Login,200,OK,Workers 1-104,text,TRUE,,3196,801,150,150,http://localhost/login,7203,0,1,,,,,,
1.65546E+12,7241,addProductToCart,200,OK,Workers 1-4,text,TRUE,,3231,795,150,150,http://localhost/addToCart,7241,0,0,,,,,,
1.65546E+12,7296,Login,200,OK,Workers 1-105,text,TRUE,,3195,791,150,150,http://localhost/login,7296,0,1,,,,,,
1.65546E+12,7325,Login,200,OK,Workers 1-108,text,TRUE,,3195,821,150,150,http://localhost/login,7325,0,0,,,,,,
1.65546E+12,7346,Login,200,OK,Workers 1-107,text,TRUE,,3195,786,150,150,http://localhost/login,7346,0,1,,,,,,
1.65546E+12,4113,addProductToCart,200,OK,Workers 1-109,text,TRUE,,3233,820,150,150,http://localhost/addToCart,4113,0,1,,,,,,
1.65546E+12,7385,addProductToCart,200,OK,Workers 1-5,text,TRUE,,3231,845,150,150,http://localhost/addToCart,7385,0,1,,,,,,
1.65546E+12,4249,addProductToCart,200,OK,Workers 1-110,text,TRUE,,3233,835,150,150,http://localhost/addToCart,4249,0,1,,,,,,
1.65546E+12,7457,Login,200,OK,Workers 1-112,text,TRUE,,3197,811,150,150,http://localhost/login,7457,0,0,,,,,,
1.65546E+12,7479,Login,200,OK,Workers 1-113,text,TRUE,,3195,796,150,150,http://localhost/login,7479,0,0,,,,,,
1.65546E+12,4428,addProductToCart,200,OK,Workers 1-111,text,TRUE,,3232,796,150,150,http://localhost/addToCart,4428,0,0,,,,,,
1.65546E+12,4517,addProductToCart,200,OK,Workers 1-41,text,TRUE,,3232,806,150,150,http://localhost/addToCart,4517,0,0,,,,,,
1.65546E+12,1270,Purchase Items,200,OK,Workers 1-77,text,TRUE,,3608,1987,150,150,http://localhost/purchaseCart,1270,0,0,,,,,,
1.65546E+12,767,Purchase Items,200,OK,Workers 1-93,text,TRUE,,3618,2071,150,150,http://localhost/purchaseCart,767,0,0,,,,,,
1.65546E+12,4595,addProductToCart,200,OK,Workers 1-115,text,TRUE,,3233,821,150,150,http://localhost/addToCart,4595,0,1,,,,,,
1.65546E+12,7646,Login,200,OK,Workers 1-116,text,TRUE,,3193,811,150,150,http://localhost/login,7646,0,1,,,,,,
1.65546E+12,4728,addProductToCart,200,OK,Workers 1-114,text,TRUE,,3232,846,150,150,http://localhost/addToCart,4728,0,0,,,,,,
1.65546E+12,4823,addProductToCart,200,OK,Workers 1-117,text,TRUE,,3231,831,150,150,http://localhost/addToCart,4822,0,0,,,,,,
1.65546E+12,7770,Login,200,OK,Workers 1-118,text,TRUE,,3197,816,150,150,http://localhost/login,7770,0,1,,,,,,
1.65546E+12,7787,Login,200,OK,Workers 1-120,text,TRUE,,3195,821,150,150,http://localhost/login,7786,0,1,,,,,,
1.65546E+12,7811,Login,200,OK,Workers 1-121,text,TRUE,,3195,801,150,150,http://localhost/login,7811,0,1,,,,,,
1.65546E+12,7852,Login,200,OK,Workers 1-119,text,TRUE,,3196,791,150,150,http://localhost/login,7852,0,0,,,,,,
1.65546E+12,7880,Login,200,OK,Workers 1-123,text,TRUE,,3196,806,150,150,http://localhost/login,7880,0,1,,,,,,
1.65546E+12,5273,addProductToCart,200,OK,Workers 1-124,text,TRUE,,3233,836,150,150,http://localhost/addToCart,5272,0,0,,,,,,
1.65546E+12,8040,Login,200,OK,Workers 1-127,text,TRUE,,3195,831,150,150,http://localhost/login,8040,0,0,,,,,,
1.65546E+12,8081,Login,200,OK,Workers 1-125,text,TRUE,,3196,811,150,150,http://localhost/login,8081,0,1,,,,,,
1.65546E+12,8233,Login,200,OK,Workers 1-128,text,TRUE,,3197,821,150,150,http://localhost/login,8233,0,0,,,,,,
1.65546E+12,5700,addProductToCart,200,OK,Workers 1-129,text,TRUE,,3232,821,150,150,http://localhost/addToCart,5700,0,0,,,,,,
1.65546E+12,8324,Login,200,OK,Workers 1-130,text,TRUE,,3195,826,150,150,http://localhost/login,8324,0,0,,,,,,
1.65546E+12,8349,Login,200,OK,Workers 1-131,text,TRUE,,3197,821,150,150,http://localhost/login,8349,0,1,,,,,,
1.65546E+12,6005,addProductToCart,200,OK,Workers 1-132,text,TRUE,,3232,816,150,150,http://localhost/addToCart,6005,0,0,,,,,,
1.65546E+12,8462,Login,200,OK,Workers 1-135,text,TRUE,,3195,826,150,150,http://localhost/login,8461,0,0,,,,,,
1.65546E+12,8490,Login,200,OK,Workers 1-138,text,TRUE,,3197,806,150,150,http://localhost/login,8490,0,0,,,,,,
